原文件,0-10km/h速度占比,10-20km/h速度占比,20-30km/h速度占比,30-40km/h速度占比,40-50km/h速度占比,    50-60km/h速度占比,60-70km/h速度占比,70以上km/h速度占比,    加速度占比,减速度占比,怠速占比,匀速占比,速度标准差,平均速度,油耗平均值
ff10,0.667,0.333,0,0,0,0,0,0,0.483,0.35,0.118,0.183,5.244,7.957,29.734
ff11,0.018,0.062,0.202,0.382,0.206,0.129,0,0,0.485,0.408,0.265,0.11,18.499,35.522,9.99
ff12,0.116,0.168,0.389,0.189,0.137,0,0,0,0.589,0.389,0.208,0.032,14.252,25.589,13.04
ff13,0.055,0.103,0.048,0.076,0.393,0.324,0,0,0.517,0.386,0.338,0.103,22.824,41.061,8.373
ff14,0.051,0.081,0.059,0.044,0.14,0.228,0.397,0,0.507,0.368,0.205,0.132,25.749,49.1,5.832
ff15,0.061,0.083,0.161,0.272,0.256,0.072,0.094,0,0.561,0.344,0.186,0.089,19.992,36.58,7.047
ff16,1,0,0,0,0,0,0,0,1,1,0.947,0,0.344,1.5,52.22
ff17,0.261,0.275,0.391,0.072,0,0,0,0,0.507,0.377,0.343,0.101,11.577,18.041,17.393
ff18,0.064,0.119,0.211,0.165,0.303,0.138,0,0,0.55,0.431,0.31,0.028,20.075,34.287,16.729
ff19,0.129,0.161,0.242,0.339,0.129,0,0,0,0.548,0.387,0.075,0.048,13.347,26.753,16.895
ff110,0.138,0.5,0.362,0,0,0,0,0,0.448,0.448,0.194,0.086,9.077,17.879,17.5
ff111,0.429,0.571,0,0,0,0,0,0,0.571,0.429,0.364,0.071,6.797,10.879,4.949
ff112,0.139,0.38,0.443,0.038,0,0,0,0,0.418,0.494,0.248,0.101,10.408,18.741,19.341
ff113,1,0,0,0,0,0,0,0,0.308,0.385,0.675,0.385,1.729,3.031,56.027
ff114,1,0,0,0,0,0,0,0,0.5,1,0.846,0,0.582,1.55,54.62
ff115,1,0,0,0,0,0,0,0,0.333,0.333,0.885,0.667,0.543,1.667,41.877
ff116,0.69,0.31,0,0,0,0,0,0,0.483,0.483,0.293,0.069,4.77,6.638,34.208
ff117,1,0,0,0,0,0,0,0,0.5,0.5,0.6,0.5,0.11,0.2,0.275
ff118,0.553,0.447,0,0,0,0,0,0,0.447,0.426,0.113,0.149,5.522,9.451,26.674
ff119,1,0,0,0,0,0,0,0,1,1,0.977,0,0.437,2.9,0.24
ff120,0.536,0.321,0.143,0,0,0,0,0,0.518,0.393,0.067,0.107,7.184,10.42,15.768
ff121,0.128,0.397,0.462,0.013,0,0,0,0,0.397,0.513,0.114,0.103,9.42,18.978,18.11
ff122,1,0,0,0,0,0,0,0,0.5,1,0.75,0,0.903,1.95,58.405
ff123,0.857,0.143,0,0,0,0,0,0,0.429,0.714,0.837,0,2.643,6.2,18.169
ff124,0.08,0.127,0.429,0.363,0,0,0,0,0.476,0.448,0.054,0.08,10.13,25.544,9.963
ff125,0.062,0.138,0.369,0.431,0,0,0,0,0.462,0.4,0.343,0.123,14.868,26.388,12.654
ff126,0.159,0.175,0.254,0.413,0,0,0,0,0.508,0.365,0.417,0.127,15.24,25.306,16.228
ff127,0.086,0.276,0.172,0.379,0.086,0,0,0,0.621,0.328,0.431,0.069,15.524,26.262,19.232
ff128,0.565,0.435,0,0,0,0,0,0,0.478,0.565,0.54,0,6.517,9.778,34.714
ff129,0.019,0.057,0.123,0.302,0.434,0.066,0,0,0.547,0.358,0.424,0.104,20.019,37.402,7.652
ff130,1,0,0,0,0,0,0,0,0.5,0.5,0.667,0,0.151,0.275,53.795
ff131,0.072,0.175,0.381,0.309,0.062,0,0,0,0.485,0.392,0.142,0.134,12.618,26.053,11.377
ff132,1,0,0,0,0,0,0,0,0.4,0.8,0.925,0,2.057,7.16,12.27
ff133,1,0,0,0,0,0,0,0,0.5,1,0.6,0,2.165,3.9,30.045
ff134,0.308,0.692,0,0,0,0,0,0,0.385,0.615,0.188,0.077,6.668,11.692,24.342
ff135,0.19,0.063,0.291,0.316,0.139,0,0,0,0.544,0.38,0.248,0.089,15.929,27.103,9.867
ff136,0.019,0.057,0.194,0.346,0.384,0,0,0,0.498,0.427,0.045,0.081,11.582,35.321,10.626
ff137,0.063,0.222,0.444,0.27,0,0,0,0,0.476,0.429,0.394,0.111,13.297,24.098,22.881
ff138,0.65,0.35,0,0,0,0,0,0,0.35,0.5,0.474,0.2,4.327,7.535,29.869
ff139,0.14,0.16,0.24,0.46,0,0,0,0,0.48,0.42,0.296,0.12,14.437,24.698,14.571
ff140,0.9,0.1,0,0,0,0,0,0,0.3,0.7,0.756,0.1,2.846,5.86,37.053
ff141,0.321,0.679,0,0,0,0,0,0,0.5,0.321,0.222,0.179,6.579,10.954,24.076
ff142,0.137,0.255,0.608,0,0,0,0,0,0.412,0.471,0.121,0.118,10.847,21.11,16.153
ff143,0.824,0.176,0,0,0,0,0,0,0.412,0.588,0.452,0.059,3.827,4.665,36.467
ff144,1,0,0,0,0,0,0,0,0.667,0.25,0.538,0.167,1.689,3.125,58.216
ff145,0.5,0.5,0,0,0,0,0,0,0.591,0.364,0.353,0.045,5.443,8.768,19.575
ff146,1,0,0,0,0,0,0,0,0.444,0.556,0.526,0.111,1.995,3.389,7.204
ff147,0.25,0.75,0,0,0,0,0,0,0.482,0.446,0.477,0.089,6.676,11.609,31.421
ff148,1,0,0,0,0,0,0,0,1,1,0.857,0,0.076,0.2,63.08
ff149,0.262,0.34,0.136,0.243,0.019,0,0,0,0.544,0.398,0.028,0.068,12.454,19.248,17.857
ff150,0.076,0.419,0.171,0.324,0.01,0,0,0,0.505,0.39,0.327,0.114,13.986,23.55,24.387
ff151,0.194,0.75,0.056,0,0,0,0,0,0.528,0.5,0.571,0,7.831,14.486,32.869
ff152,0.667,0.333,0,0,0,0,0,0,0.455,0.394,0.45,0.152,5.393,8.824,40.323
ff153,1,0,0,0,0,0,0,0,0.364,0.636,0.676,0.091,2.182,4.227,48.718
ff154,0.358,0.132,0.377,0.132,0,0,0,0,0.509,0.34,0.404,0.17,12.042,18.304,24.553
ff155,0.231,0.538,0.231,0,0,0,0,0,0.462,0.538,0.152,0,8.014,14.138,18.929
ff156,0.087,0.304,0.609,0,0,0,0,0,0.739,0.261,0.796,0.043,8.402,19.757,16.794
ff157,0.146,0.256,0.402,0.195,0,0,0,0,0.634,0.268,0.057,0.098,10.374,20.689,12.485
ff158,0.022,0.087,0.13,0.728,0.033,0,0,0,0.587,0.315,0.193,0.098,14.54,31.87,4.021
ff159,0.068,0.159,0.136,0.273,0.364,0,0,0,0.682,0.341,0.083,0,15.712,32.261,7.74
ff160,0.182,0.545,0.273,0,0,0,0,0,0.477,0.432,0.154,0.091,8.037,15.618,13.108
ff161,0.031,0.115,0.285,0.315,0.254,0,0,0,0.569,0.369,0.202,0.062,15.732,31.487,8.458
ff162,0.273,0.485,0.242,0,0,0,0,0,0.591,0.364,0.165,0.045,8.379,13.688,4.207
ff163,1,0,0,0,0,0,0,0,0.5,0.333,0.4,0.333,0.738,0.9,0.268
ff164,1,0,0,0,0,0,0,0,0.375,0.75,0.81,0,1.06,2.587,8.271
ff165,1,0,0,0,0,0,0,0,0.4,0.8,0.706,0,1.058,2.2,13.066
ff166,1,0,0,0,0,0,0,0,0.5,0.375,0.273,0.188,1.417,2.744,4.17
ff167,1,0,0,0,0,0,0,0,1,1,0.889,0,0.467,1.4,0.29
ff168,0.294,0.706,0,0,0,0,0,0,0.471,0.529,0.595,0,5.704,10.306,0.412
ff169,0.109,0.168,0.27,0.438,0.015,0,0,0,0.518,0.387,0.028,0.102,12.086,26.549,1.021
ff170,0.111,0.1,0.1,0.089,0.2,0.344,0.056,0,0.5,0.444,0.159,0.067,22.32,38.758,13.612
ff171,1,0,0,0,0,0,0,0,0.4,0.6,0.615,0.2,1.655,3.24,60.648
ff172,0.05,0.125,0.362,0.212,0.25,0,0,0,0.588,0.362,0.433,0.062,17.379,29.925,2.977
ff173,0.013,0.035,0.056,0.056,0.185,0.469,0.185,0,0.501,0.343,0.021,0.155,14.798,50.302,1.988
ff174,0.333,0.619,0.048,0,0,0,0,0,0.619,0.238,0.447,0.19,8.067,12.324,0.447
ff175,0.088,0.112,0.416,0.216,0.168,0,0,0,0.528,0.408,0.309,0.064,15.641,27.693,1.506
ff176,0.7,0.3,0,0,0,0,0,0,0.55,0.4,0.722,0.1,4.736,9.39,0.357
ff177,0.044,0.289,0.667,0,0,0,0,0,0.444,0.4,0.664,0.178,9.711,19.842,0.451
ff178,1,0,0,0,0,0,0,0,0,0,0.75,0,0.05,0.1,0.24
ff179,0.733,0.267,0,0,0,0,0,0,0.667,0.267,0.375,0.133,4.686,6.953,0.347
ff180,1,0,0,0,0,0,0,0,0.357,0.643,0.576,0.071,1.96,3.414,0.316
ff181,0.014,0.04,0.088,0.536,0.321,0,0,0,0.438,0.412,0.009,0.15,8.265,36.079,0.548
ff182,0.031,0.265,0.648,0.056,0,0,0,0,0.423,0.418,0.121,0.163,9.063,22.611,0.421
ff183,0.03,0.14,0.29,0.54,0,0,0,0,0.51,0.35,0.383,0.15,15.425,28.818,3.026
ff184,0.04,0.249,0.689,0.022,0,0,0,0,0.422,0.369,0.022,0.209,6.488,22.308,0.425
ff185,0.163,0.534,0.303,0,0,0,0,0,0.439,0.425,0.018,0.14,6.542,16.123,1.852
ff186,1,0,0,0,0,0,0,0,0.6,0.6,0.792,0,1.163,2.72,59.238
ff187,0.882,0.118,0,0,0,0,0,0,0.647,0.353,0.261,0.059,3.407,5.382,29.239
ff188,0.327,0.153,0.449,0.071,0,0,0,0,0.49,0.378,0.14,0.143,11.261,17.567,1.039
ff189,0.084,0.175,0.224,0.517,0,0,0,0,0.524,0.385,0.021,0.098,10.188,26.301,0.551
ff190,1,0,0,0,0,0,0,0,0.333,0.167,0.333,0.333,0.164,0.267,0.35
